"gene","category"
"TraesCS1B03G0819300","Ambiguous"
"TraesCS6B03G0127100","Ambiguous"
"TraesCS1B03G0075200","Conserved"
"TraesCS6B03G0314200","Compensatory"
"TraesCS3B03G0496800","Ambiguous"
"TraesCS3B03G0995600","Conserved"
"TraesCS1B03G1151300","Cis only"
"TraesCS6B03G0994100","Conserved"
"TraesCS3B03G1506500","Ambiguous"
"TraesCS5B03G1199500","Conserved"
"TraesCS5B03G1033300","Conserved"
"TraesCS6B03G0483900","Conserved"
"TraesCS2B03G1307000","Conserved"
"TraesCS5B03G0751500","Ambiguous"
"TraesCS6B03G0016600","Ambiguous"
"TraesCS7B03G0928200","Conserved"
"TraesCS5B03G0075000","Ambiguous"
"TraesCS5B03G0450500","Conserved"
"TraesCS6B03G0615400","Conserved"
"TraesCS7B03G0296000","Ambiguous"
"TraesCS7B03G0926700","Cis × trans"
"TraesCS5B03G0555700","Ambiguous"
"TraesCS4B03G0894600","Ambiguous"
"TraesCS2B03G0397000","Trans only"
"TraesCS1B03G0107500","Trans only"
"TraesCS1B03G0907900","Conserved"
"TraesCS5B03G1206600","Ambiguous"
"TraesCS2B03G0800800","Ambiguous"
"TraesCS6B03G0132000","Conserved"
"TraesCS1B03G0659600","Cis + trans"
"TraesCS6B03G1264700","Conserved"
"TraesCS6B03G0741700","Conserved"
"TraesCS6B03G0147800","Cis × trans"
"TraesCS1B03G0654800","Conserved"
"TraesCS4B03G0733400","Ambiguous"
"TraesCS7B03G0331300","Conserved"
"TraesCS5B03G0053500","Conserved"
"TraesCS6B03G1050700","Ambiguous"
"TraesCS6B03G0920800","Ambiguous"
"TraesCS1B03G0832300","Conserved"
"TraesCS2B03G1304900","Trans only"
"TraesCS7B03G1191500","Cis × trans"
