"gene","category"
"TraesPARA_EIv1.0_0052440","Conserved"
"TraesPARA_EIv1.0_0052450","Conserved"
"TraesPARA_EIv1.0_0052470","Conserved"
"TraesPARA_EIv1.0_0052520","Trans only"
"TraesPARA_EIv1.0_0052530","Conserved"
"TraesPARA_EIv1.0_0052590","Conserved"
"TraesPARA_EIv1.0_0052610","Conserved"
"TraesPARA_EIv1.0_0052620","Conserved"
"TraesPARA_EIv1.0_0052640","Ambiguous"
"TraesPARA_EIv1.0_0052680","Ambiguous"
"TraesPARA_EIv1.0_0052710","Conserved"
"TraesPARA_EIv1.0_0052820","Conserved"
"TraesPARA_EIv1.0_0052830","Trans only"
"TraesPARA_EIv1.0_0052870","Conserved"
"TraesPARA_EIv1.0_0052880","Ambiguous"
"TraesPARA_EIv1.0_0052940","Conserved"
"TraesPARA_EIv1.0_0052990","Conserved"
"TraesPARA_EIv1.0_0053000","Conserved"
"TraesPARA_EIv1.0_0053040","Conserved"
"TraesPARA_EIv1.0_0053050","Ambiguous"
"TraesPARA_EIv1.0_0053120","Conserved"
"TraesPARA_EIv1.0_0053210","Conserved"
"TraesPARA_EIv1.0_0053350","Conserved"
"TraesPARA_EIv1.0_0053380","Conserved"
"TraesPARA_EIv1.0_0053430","Conserved"
"TraesPARA_EIv1.0_0053460","Ambiguous"
"TraesPARA_EIv1.0_0053520","Conserved"
"TraesPARA_EIv1.0_0053570","Trans only"
"TraesPARA_EIv1.0_0053590","Ambiguous"
"TraesPARA_EIv1.0_0053610","Conserved"
"TraesPARA_EIv1.0_0053640","Trans only"
"TraesPARA_EIv1.0_0053650","Conserved"
"TraesPARA_EIv1.0_0053810","Conserved"
"TraesPARA_EIv1.0_0053820","Trans only"
"TraesPARA_EIv1.0_0053920","Conserved"
"TraesPARA_EIv1.0_0053960","Ambiguous"
"TraesPARA_EIv1.0_0054100","Trans only"
"TraesPARA_EIv1.0_0054320","Ambiguous"
"TraesPARA_EIv1.0_0054330","Ambiguous"
"TraesPARA_EIv1.0_0054380","Ambiguous"
"TraesPARA_EIv1.0_0054390","Conserved"
"TraesPARA_EIv1.0_0054410","Ambiguous"
"TraesPARA_EIv1.0_0054450","Ambiguous"
"TraesPARA_EIv1.0_0054480","Conserved"
"TraesPARA_EIv1.0_0054490","Ambiguous"
"TraesPARA_EIv1.0_0054530","Ambiguous"
"TraesPARA_EIv1.0_0054560","Conserved"
"TraesPARA_EIv1.0_0054810","Ambiguous"
"TraesPARA_EIv1.0_0054880","Conserved"
"TraesPARA_EIv1.0_0054920","Ambiguous"
"TraesPARA_EIv1.0_0055170","Conserved"
"TraesPARA_EIv1.0_0055220","Ambiguous"
"TraesPARA_EIv1.0_0055240","Conserved"
"TraesPARA_EIv1.0_0055250","Ambiguous"
"TraesPARA_EIv1.0_0055280","Conserved"
"TraesPARA_EIv1.0_0055470","Conserved"
"TraesPARA_EIv1.0_0055710","Ambiguous"
"TraesPARA_EIv1.0_0055770","Conserved"
"TraesPARA_EIv1.0_0055800","Ambiguous"
"TraesPARA_EIv1.0_0055910","Conserved"
"TraesPARA_EIv1.0_0055960","Conserved"
"TraesPARA_EIv1.0_0056030","Conserved"
